State,State_numerical,Year,Deaths,Population,death_rate_per_100k
Alabama,1,2005,9913,4569805,216.92391688485614
Alabama,1,2006,9899,4628981,213.84836101077104
Alabama,1,2007,10025,4672840,214.53762594054152
Alabama,1,2008,10182,4718206,215.80236216901085
Alabama,1,2009,10289,4757938,216.2491398584849
Alabama,1,2010,10196,4785514,213.05966297455194
Alabama,1,2011,10233,4799642,213.20340142035593
Alabama,1,2012,10274,4816632,213.3025732503542
Alabama,1,2013,10328,4831586,213.76003655942375
Alabama,1,2014,10286,4843737,212.35669897023726
Alabama,1,2015,10354,4854803,213.2733295254205
Alabama,1,2016,10419,4866824,214.0821200848849
Alabama,1,2017,10410,4877989,213.4076153103256
Alabama,1,2018,10632,4891628,217.35095146237612
Alabama,1,2019,10266,4907965,209.1701957939798
Alabama,1,2020,10456,5033094,207.74497754264078
Alaska,2,2005,732,666946,109.75401306852429
Alaska,2,2006,790,675302,116.98469721694886
Alaska,2,2007,839,680300,123.32794355431427
Alaska,2,2008,867,687455,126.11734586263827
Alaska,2,2009,895,698895,128.05929359918156
Alaska,2,2010,884,713982,123.81264513671213
Alaska,2,2011,935,722349,129.43881697074406
Alaska,2,2012,925,730810,126.57188598951849
Alaska,2,2013,1016,737626,137.7391794757777
Alaska,2,2014,972,737075,131.8726045517756
Alaska,2,2015,978,738430,132.44315642647237
Alaska,2,2016,995,742575,133.993199340134
Alaska,2,2017,926,740983,124.96912884641078
Alaska,2,2018,957,736624,129.91702686852452
Alaska,2,2019,1021,733603,139.17609388184073
Alaska,2,2020,1043,733017,142.28865087712836
Arizona,4,2005,9820,5839077,168.1772650026708
Arizona,4,2006,9918,6029141,164.50104583720966
Arizona,4,2007,10133,6167681,164.29189512233202
Arizona,4,2008,10081,6280362,160.5162250201501
Arizona,4,2009,10271,6343154,161.92260191065833
Arizona,4,2010,10678,6407342,166.65256825685285
Arizona,4,2011,10690,6473416,165.1369230712193
Arizona,4,2012,11085,6556344,169.07288574241986
Arizona,4,2013,11347,6634690,171.02532296158526
Arizona,4,2014,11455,6732873,170.13539390985096
Arizona,4,2015,11776,6832810,172.34490641478396
Arizona,4,2016,11876,6944767,171.00645709208098
Arizona,4,2017,12008,7048088,170.37244710905992
Arizona,4,2018,12113,7164228,169.07613772202671
Arizona,4,2019,12503,7291843,171.46556775838425
Arizona,4,2020,12676,7187135,176.3706956944596
Arkansas,5,2005,6361,2781097,228.72269467767575
Arkansas,5,2006,6177,2821761,218.9058534723529
Arkansas,5,2007,6388,2848650,224.24657293805836
Arkansas,5,2008,6526,2874554,227.02652307105726
Arkansas,5,2009,6513,2896843,224.83096253404136
Arkansas,5,2010,6475,2921998,221.59494975698135
Arkansas,5,2011,6497,2941038,220.9084003674893
Arkansas,5,2012,6540,2952876,221.4789920064371
Arkansas,5,2013,6688,2960459,225.91091448994905
Arkansas,5,2014,6546,2968759,220.49617365370514
Arkansas,5,2015,6727,2979732,225.75855815220964
Arkansas,5,2016,6612,2991815,221.00296976918693
Arkansas,5,2017,6516,3003855,216.92125618580127
Arkansas,5,2018,6491,3012161,215.4931293513195
Arkansas,5,2019,6482,3020985,214.565779042266
Arkansas,5,2020,6496,3014546,215.4885014194509
California,6,2005,54729,35827943,152.75507164896405
California,6,2006,54140,36021202,150.30037032079053
California,6,2007,55011,36250311,151.7531808209866
